
951;11888;impassable;-1;-1;-1;-1;-1;;north appalachians
13237;11888;impassable;-1;-1;-1;-1;-1;;north appalachians
13237;6958;impassable;-1;-1;-1;-1;-1;;north appalachians
10343;6958;impassable;-1;-1;-1;-1;-1;;north appalachians
1506;13255;impassable;-1;-1;-1;-1;-1;;mid appalachians
1506;7466;impassable;-1;-1;-1;-1;-1;;mid appalachians
12445;8014;impassable;-1;-1;-1;-1;-1;;south appalachians
12578;8014;impassable;-1;-1;-1;-1;-1;;south appalachians
7643;8014;impassable;-1;-1;-1;-1;-1;;south appalachians
7643;7791;impassable;-1;-1;-1;-1;-1;;south appalachians

4799;1651;impassable;-1;-1;-1;-1;-1;;sierra nevada
12425;1651;impassable;-1;-1;-1;-1;-1;;sierra nevada
12425;7667;impassable;-1;-1;-1;-1;-1;;sierra nevada
4521;7667;impassable;-1;-1;-1;-1;-1;;sierra nevada
4521;1432;impassable;-1;-1;-1;-1;-1;;sierra nevada
10422;11698;impassable;-1;-1;-1;-1;-1;;sierra nevada
10422;10159;impassable;-1;-1;-1;-1;-1;;sierra nevada

12582;5205;impassable;-1;-1;-1;-1;-1;;minnesota-canada border 
5205;10233;sea;13155;-1;-1;-1;-1;;Upper-Michigan to lower Michigan
